分數:31, 人數: 1, 比例0.001
分數:32, 人數: 1, 比例0.001
分數:39, 人數: 1, 比例0.001
分數:40, 人數: 1, 比例0.001
分數:42, 人數: 2, 比例0.002
分數:43, 人數: 1, 比例0.001
分數:44, 人數: 3, 比例0.003
分數:45, 人數: 3, 比例0.003
分數:46, 人數: 6, 比例0.006
分數:47, 人數: 3, 比例0.003
分數:48, 人數: 5, 比例0.005
分數:49, 人數: 9, 比例0.008
分數:50, 人數: 7, 比例0.007
分數:51, 人數: 5, 比例0.005
分數:52, 人數: 12, 比例0.011
分數:53, 人數: 9, 比例0.008
分數:54, 人數: 10, 比例0.009
分數:55, 人數: 22, 比例0.021
分數:56, 人數: 13, 比例0.012
分數:57, 人數: 16, 比例0.015
分數:58, 人數: 20, 比例0.019
分數:59, 人數: 16, 比例0.015
分數:60, 人數: 20, 比例0.019
分數:61, 人數: 22, 比例0.021
分數:62, 人數: 18, 比例0.017
分數:63, 人數: 34, 比例0.032
分數:64, 人數: 25, 比例0.024
分數:65, 人數: 24, 比例0.023
分數:66, 人數: 20, 比例0.019
分數:67, 人數: 23, 比例0.022
分數:68, 人數: 34, 比例0.032
分數:69, 人數: 18, 比例0.017
分數:70, 人數: 27, 比例0.025
分數:71, 人數: 27, 比例0.025
分數:72, 人數: 24, 比例0.023
分數:73, 人數: 30, 比例0.028
分數:74, 人數: 26, 比例0.024
分數:75, 人數: 23, 比例0.022
分數:76, 人數: 25, 比例0.024
分數:77, 人數: 18, 比例0.017
分數:78, 人數: 21, 比例0.02
分數:79, 人數: 24, 比例0.023
分數:80, 人數: 25, 比例0.024
分數:81, 人數: 20, 比例0.019
分數:82, 人數: 23, 比例0.022
分數:83, 人數: 24, 比例0.023
分數:84, 人數: 36, 比例0.034
分數:85, 人數: 20, 比例0.019
分數:86, 人數: 21, 比例0.02
分數:87, 人數: 23, 比例0.022
分數:88, 人數: 19, 比例0.018
分數:89, 人數: 21, 比例0.02
分數:90, 人數: 13, 比例0.012
分數:91, 人數: 17, 比例0.016
分數:92, 人數: 19, 比例0.018
分數:93, 人數: 8, 比例0.008
分數:94, 人數: 8, 比例0.008
分數:95, 人數: 9, 比例0.008
分數:96, 人數: 12, 比例0.011
分數:97, 人數: 7, 比例0.007
分數:98, 人數: 10, 比例0.009
分數:99, 人數: 5, 比例0.005
分數:100, 人數: 11, 比例0.01
