魚類中華絨螯蟹, 筆數: 18
魚類九孔, 筆數: 93
魚類其他旗魚, 筆數: 50
魚類其他水產動物, 筆數: 53
魚類其他海水魚類, 筆數: 286
魚類其他淡水魚類, 筆數: 189
魚類其他珊瑚, 筆數: 4
魚類其他石斑, 筆數: 57
魚類其他石首魚, 筆數: 133
魚類其他笛鯛, 筆數: 42
魚類其他藻類, 筆數: 26
魚類其他蝦類, 筆數: 215
魚類其他蟳蟹類, 筆數: 208
魚類其他觀賞魚, 筆數: 95
魚類其他貝類, 筆數: 123
魚類其他頭足類, 筆數: 74
魚類其他鮪類, 筆數: 109
魚類其他鯊, 筆數: 61
魚類其他鯔, 筆數: 15
魚類其他鯛, 筆數: 245
魚類其他鯡, 筆數: 147
魚類其他鯧, 筆數: 97
魚類其他鰆類, 筆數: 177
魚類其他鰹類, 筆數: 151
魚類其他鰻, 筆數: 12
魚類其他鱸魚, 筆數: 59
魚類其它海水鰻, 筆數: 10
魚類凡納對蝦, 筆數: 159
魚類刀額新對蝦, 筆數: 97
魚類刺尾鯛科, 筆數: 14
魚類刺鯧, 筆數: 217
魚類劍旗魚, 筆數: 93
魚類劍蝦, 筆數: 89
魚類南方黑鮪, 筆數: 26
魚類合齒魚科, 筆數: 132
魚類吳郭魚類, 筆數: 236
魚類單棘魨科, 筆數: 186
魚類圓花鰹, 筆數: 111
魚類多毛對蝦, 筆數: 93
魚類大口黑鱸, 筆數: 33
魚類大彈塗魚, 筆數: 19
魚類大棘大眼鯛, 筆數: 184
魚類大目鮪, 筆數: 79
魚類大西洋白旗魚, 筆數: 9
魚類大鯊, 筆數: 112
魚類大黃魚, 筆數: 108
魚類太平洋黑鮪, 筆數: 75
魚類寶刀魚科, 筆數: 20
魚類小沙丁屬, 筆數: 82
魚類小鱗脂眼鯡, 筆數: 88
魚類小黃魚, 筆數: 104
魚類尖吻鯖鯊, 筆數: 52
魚類尖吻鱸, 筆數: 31
魚類帶魚屬, 筆數: 278
魚類帶鰆科, 筆數: 81
魚類平鯛, 筆數: 22
魚類康氏馬加鰆, 筆數: 204
魚類彎角鷹爪蝦, 筆數: 60
魚類扁花鰹, 筆數: 126
魚類文蛤, 筆數: 119
魚類斑海鯰, 筆數: 110
魚類斑石鯛, 筆數: 15
魚類斑駁尖塘鱧, 筆數: 9
魚類日月蛤, 筆數: 8
魚類日本對蝦, 筆數: 156
魚類日本花鱸, 筆數: 73
魚類日本銀帶鯡, 筆數: 23
魚類日本馬加鰆, 筆數: 199
魚類日本鰻鱺, 筆數: 113
魚類星點笛鯛, 筆數: 13
魚類晶瑩櫻蝦, 筆數: 18
魚類杜氏鰤, 筆數: 115
魚類桃紅珊瑚, 筆數: 12
魚類棕點石斑魚, 筆數: 8
魚類正鰹, 筆數: 147
魚類泥鰍, 筆數: 38
魚類海參, 筆數: 1
魚類海膽, 筆數: 21
魚類海鰶屬, 筆數: 36
魚類海鰻科, 筆數: 35
魚類海鱺, 筆數: 129
魚類淡水石斑, 筆數: 1
魚類淡水鯰, 筆數: 99
魚類烏賊, 筆數: 100
魚類烏鯧, 筆數: 36
魚類牡蠣, 筆數: 108
魚類狐鯊科, 筆數: 5
魚類珊瑚, 筆數: 10
魚類瑪拉巴石斑, 筆數: 32
魚類白姑魚, 筆數: 225
魚類白珊瑚, 筆數: 3
魚類白腹鯖, 筆數: 31
魚類白鰱, 筆數: 58
魚類盤鮑, 筆數: 4
魚類真鯊屬, 筆數: 68
魚類真鯛, 筆數: 180
魚類眼眶魚, 筆數: 116
魚類石花菜科, 筆數: 27
魚類秋刀魚, 筆數: 31
